age,share_need,share_informal,share_need_mig,share_informal_mig,share_with_care_needs_receiving_informal_care,share_with_care_needs_receiving_formal_care,share_with_care_needs_receiving_both_care,share_formal,share_formal_mig
1,NA,NA,NA,NA,NA,NA,NA,0.02074688796680498,0
2,NA,NA,NA,NA,NA,NA,NA,0.025688073394495414,0.14285714285714285
3,NA,NA,NA,NA,NA,NA,NA,0.0595903165735568,0.0625
4,NA,NA,NA,NA,NA,NA,NA,0.09712230215827339,0.1111111111111111
5,NA,NA,NA,NA,NA,NA,NA,0.11156186612576065,0.03636363636363636
6,NA,NA,NA,NA,NA,NA,NA,0.1017274472168906,0.05660377358490566
7,NA,NA,NA,NA,NA,NA,NA,0.11756168359941944,0.08641975308641975
8,NA,NA,NA,NA,NA,NA,NA,0.13510253317249699,0.11607142857142858
9,NA,NA,NA,NA,NA,NA,NA,0.16443361753958588,0.1259259259259259
10,NA,NA,NA,NA,NA,NA,NA,0.13024282560706402,0.1694915254237288
11,NA,NA,NA,NA,NA,NA,NA,0.1496232508073197,0.10071942446043165
12,NA,NA,NA,NA,NA,NA,NA,0.15160349854227406,0.1282051282051282
13,NA,NA,NA,NA,NA,NA,NA,0.14735945485519591,0.13872832369942195
14,NA,NA,NA,NA,NA,NA,NA,0.15020746887966804,0.18232044198895028
15,NA,NA,NA,NA,NA,NA,NA,0.14422310756972112,0.13812154696132597
16,0,0.06657580686849474,0,0.18538557565987146,NA,NA,NA,0.15151515151515152,0.22564102564102564
17,0,0.05159703955255343,0,0.026169717022236395,NA,NA,NA,0.15436746987951808,0.17560975609756097
18,0,0.1165157681316512,0,0,NA,NA,NA,0.14111747851002865,0.18781725888324874
19,0,0.05726602269235112,0,0,NA,NA,NA,0.15463165572574764,0.24056603773584906
20,0,0.08122751815917788,0,0,NA,NA,NA,0.1667844522968198,0.2330508474576271
21,0,0.10024423306459244,0,0.35621512362805635,NA,NA,NA,0.14381720430107528,0.21495327102803738
22,0,0.08146292129417781,0,0,NA,NA,NA,0.14986376021798364,0.32727272727272727
23,0,0.05228894276189356,0,0.011310843406505282,NA,NA,NA,0.13255360623781676,0.22549019607843138
24,0,0.0646177347872561,0,0,NA,NA,NA,0.15570934256055363,0.28
25,0,0.08131645506653963,0,0,NA,NA,NA,0.12248995983935743,0.28415300546448086
26,0,0.08196628897319068,0,0.1402425505577059,NA,NA,NA,0.15468549422336328,0.22821576763485477
27,0,0.05558272704088657,0,0.023250730461087967,NA,NA,NA,0.1513647642679901,0.22540983606557377
28,0,0.10595544264674357,0,0.09021223723203342,NA,NA,NA,0.13704206241519673,0.26732673267326734
29,0,0.08630911566693691,0,0.04093076382893751,NA,NA,NA,0.1338366506520247,0.2923076923076923
30,0,0.0905202620584331,0,0.04839792732494244,NA,NA,NA,0.15659140568099053,0.3302325581395349
31,0,0.10016032803561849,0,0.0160807880527388,NA,NA,NA,0.14011896893588896,0.22641509433962265
32,0,0.1236028740490649,0,0.1468834028998454,NA,NA,NA,0.1331081081081081,0.25380710659898476
33,0,0.18869499890240585,0,0.12609864226219572,NA,NA,NA,0.13799621928166353,0.2374429223744292
34,0,0.10173523258809593,0,0.23688728971891435,NA,NA,NA,0.1412639405204461,0.17982456140350878
35,0,0.12218266508592177,0,0.07896254045495157,NA,NA,NA,0.14113597246127366,0.1991869918699187
36,0,0.1678245008591067,0,0.10066389175150249,NA,NA,NA,0.13662456946039037,0.16806722689075632
37,0,0.0800311522041217,0,0.13265042873479582,NA,NA,NA,0.14761040532365396,0.20081967213114754
38,0,0.11202126589854816,0,0.03309850042049143,NA,NA,NA,0.1483279395900755,0.20363636363636364
39,0,0.12812063643267552,0,0.0919177523335662,NA,NA,NA,0.14863387978142076,0.16544117647058823
40,0,0.14390469326331035,0,0.09119241322303448,NA,NA,NA,0.16271373414230558,0.14915254237288136
41,0,0.14707957664056376,0,0.10484151184954588,NA,NA,NA,0.15812431842966193,0.13448275862068965
42,0,0.10639500511732557,0,0.10497058922900863,NA,NA,NA,0.16948228882833788,0.14790996784565916
43,0,0.16380551536646842,0,0.10743097855802676,NA,NA,NA,0.17608695652173914,0.11419753086419752
44,0,0.16658685863983372,0,0.10001320408290708,NA,NA,NA,0.1578641903656413,0.10661764705882353
45,0,0.16665820634773384,0,0.13939006749522517,NA,NA,NA,0.164375,0.14068441064638784
46,0,0.12675738174571297,0,0.17299689727527282,NA,NA,NA,0.1677762982689747,0.11507936507936507
47,0,0.16279481521762212,0,0.06122603452242831,NA,NA,NA,0.16819787985865725,0.10504201680672269
48,0,0.1843085051329242,0,0.15169341494173308,NA,NA,NA,0.1545524100994644,0.08415841584158416
49,0,0.15985277091517278,0,0.10230211581414896,NA,NA,NA,0.18,0.09178743961352658
50,0,0.19312278035285105,0,0.077312493304187,NA,NA,NA,0.1755868544600939,0.15508021390374332
51,0,0.16221773403372702,0,0.06702331945126709,NA,NA,NA,0.1638888888888889,0.09322033898305085
52,0,0.18133875879404057,0,0.05128762660749541,NA,NA,NA,0.15313935681470137,0.13
53,0,0.22208481892880855,0,0.1496522942315849,NA,NA,NA,0.10580912863070539,0.21568627450980393
54,0,0.2235079407578018,0,0.17941953760306278,NA,NA,NA,0.12413793103448276,0.18518518518518517
55,0,0.209401638414913,0,0.09089611610323434,NA,NA,NA,0.10094637223974763,0.15625
56,0,0.23826746220310774,0,0.20352450391191385,NA,NA,NA,0.1453287197231834,0.09523809523809523
57,0,0.23211063433845805,0,0.1744930194891805,NA,NA,NA,0.1527777777777778,0.1590909090909091
58,0,0.2230615921917805,0,0.2352658083753806,NA,NA,NA,0.09782608695652174,0.1111111111111111
59,0,0.25038183857934465,0,0.223409635994282,NA,NA,NA,0.08955223880597014,0.20833333333333334
60,0,0.21464309179246893,0,0.133320404075033,NA,NA,NA,0.0892018779342723,0.10526315789473684
61,0,0.20678163305306632,0,0.12007633912985055,NA,NA,NA,0.09166666666666666,0.09090909090909091
62,0,0.23947915389523122,0,0.22355634727908,NA,NA,NA,0.08602150537634409,0.25
63,0,0.22941443402598333,0,0.24041628505039342,NA,NA,NA,0.1518987341772152,0.16666666666666666
64,0,0.22403824319392526,0,0.15640996534503,NA,NA,NA,0.075,0.16666666666666666
65,0.08105567258368869,0.21356319612039754,0.04774255156127951,0.19754637513386808,0.3686542028831827,0.18524448109780536,0.18524448109780536,0.1,0.2
66,0.23300399755334428,0.18904817298248802,0.20010813244267636,0.13526296176837216,0.6404575763602415,0.20061373436094668,0.20061373436094668,0.030303030303030304,0
67,0.1899005776226233,0.23225250504404035,0.16571743110778012,0.18392572577342883,0.6563403229504001,0.09565283652262199,0.09565283652262199,0.05555555555555555,0
68,0.190712729139342,0.19004775770160554,0.27252030473973765,0.1879109774778816,0.4190943608640388,0.24611726821013133,0.24611726821013133,0.037037037037037035,0
69,0.165968264940246,0.19353580287589897,0.3866884924009118,0.17099399167340298,0.6922845221723487,0.20153565836583906,0.20153565836583906,0.09090909090909091,0
70,0.18434503339193803,0.1561697211767106,0.2619395188270497,0.23079048060994492,0.5318324440633467,0.2894686885822375,0.2894686885822375,0,NA
71,0.18524962018841618,0.17274119924149664,0.08205755943722426,0.2056200418988326,0.5738198296172876,0.24326327277177,0.24326327277177,0,NA
72,0.22535081284866182,0.1793993666391884,0.14011822805977991,0.1698539078123483,0.5462764227074319,0.23548423045000397,0.23548423045000397,0.2,1
73,0.23450273071860467,0.15428356010959798,0.2571907791705232,0.16873005385402315,0.6748131318739499,0.2161052394484756,0.2161052394484756,0,NA
74,0.18963887697110607,0.1547303957502475,0.030105004526106958,0.23211906209809796,0.6165227322858959,0.23436480020255704,0.23436480020255704,0,NA
75,0.25169654540864617,0.15645428055261493,0.2520825700426982,0.13257802106039135,0.5922824104526894,0.21948386371585152,0.21948386371585152,0,NA
76,0.23333177948999897,0.17633120490163368,0.25877406988319074,0.08599574177252385,0.5769832191957658,0.2612638598651053,0.2612638598651053,0,NA
77,0.27745238749277995,0.14433640787805094,0.3578068604420805,0.14150831632509547,0.5933557360898007,0.2968342090141992,0.2968342090141992,0,NA
78,0.23254388434839554,0.1131874407255477,0.12681519415146816,0.08825125483727994,0.5770879878626313,0.2779866705864594,0.2779866705864594,0,NA
79,0.2466960996828026,0.15388513355449274,0.16127228095877635,0.17586618939711648,0.48227495429099015,0.30142190536890096,0.30142190536890096,0,NA
80,0.26226342369854416,0.1494851611511899,0.43890936825610666,0.07627073965739119,0.6328762184682315,0.2939998441458229,0.2939998441458229,NA,NA
81,0.327159554673476,0.19686943430420045,0.14830180143947902,0.33603710571073103,0.6111993973530581,0.265515289299108,0.265515289299108,NA,NA
82,0.21306658947579513,0.17262330818093402,0.2904259180479754,0.04889290153636588,0.618733958382117,0.232006324322732,0.232006324322732,NA,NA
83,0.38111081093931864,0.1312268128139703,0.34376672952900916,0.3060015532586552,0.5389163245940595,0.45651930185889683,0.45651930185889683,NA,NA
84,0.42868737633703985,0.19591847957147263,0.31816999940005525,0.21297361609147497,0.7423032629539168,0.35492897941144497,0.35492897941144497,NA,NA
85,0.3520899953706637,0.0954402607583577,0.4911096631644335,0.045785684956474296,0.5769559097529313,0.4852743274911055,0.4852743274911055,NA,NA
86,0.31709480960977043,0.14384288147107058,0.33268869911756016,0.21965472291065832,0.669414045704323,0.4889641732592368,0.4889641732592368,NA,NA
87,0.35237380689119413,0.0804292786447945,0.435834483943851,0,0.5734475942546989,0.4518623976070509,0.4518623976070509,NA,NA
88,0.4795248061381255,0.09121792850835221,0.6730562201692394,0.06886392054878139,0.8732776000503237,0.5716411300429801,0.5716411300429801,NA,NA
89,0.38190569715317463,0.08082750209799117,0.4197117723066357,0.2382724170300367,0.6344845915150122,0.2331967450307375,0.2331967450307375,NA,NA
90,0.5562634285574191,0,0.2109633369039023,0,0.6456815948128033,0.31598383366435184,0.31598383366435184,NA,NA
91,0.34507538049068404,0.10455939513886864,0.3440938545182741,0,0.6422445201317111,0.31333064444605185,0.31333064444605185,NA,NA
92,0.4210245686115142,0.08289094825871271,1,0,0.9040142865376622,0.5459536467749471,0.5459536467749471,NA,NA
93,0.3433832856349196,0.07482211790896348,0.5503623044683946,0,0.06757986802224948,0.8652996861975069,0.8652996861975069,NA,NA
94,0.3631956205723957,0,NA,NA,0.5715207136297152,0.8019897650864429,0.8019897650864429,NA,NA
95,0.5592197903098536,0,0,0,1,0.37922467371001894,0.37922467371001894,NA,NA
96,0.5347121769977261,0,0,0,0.5291123895013711,0.47088761049862893,0.47088761049862893,NA,NA
97,0.1594803755934326,0,0,0,1,0,0,NA,NA
98,0.002736280038353888,0,NA,NA,0,1,1,NA,NA
99,0,0,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,0,0,NA,NA,NA,NA,NA,NA,NA
